final_pct_blocked_calls,final_pct_dropped_calls
6.970964417772929E-01,2.5156088985876224E-01
5.216406343150113E-01,3.189459878383212E-01
6.114541712071679E-01,2.3005206441457804E-01
7.58250191864927E-01,3.499616270145817E-01
6.412753588445057E-01,2.846783135057385E-01
5.372125309349912E-01,3.0180479266010746E-01
5.97460791635549E-01,3.644510828976848E-01
7.447549271896098E-01,3.5421270927310705E-01
6.68310214750349E-01,3.5940238215463216E-01
6.625085797845355E-01,3.7004983735712793E-01
6.85703836893914E-01,3.657087130100875E-01
5.324313320179148E-01,3.1319490118700866E-01
6.485007139457402E-01,2.707044264635888E-01
5.271197100841595E-01,2.8452484351133606E-01
7.155148990127705E-01,3.0492407088729884E-01
6.764239322378857E-01,3.651492023585047E-01
6.578745119739309E-01,3.0741799624950045E-01
6.354128663504803E-01,3.1314605375167215E-01
6.365069450640968E-01,3.06356146456084E-01
6.769652868901348E-01,2.8629368960992485E-01
6.10530133591247E-01,2.6295109714078463E-01
6.031697184182182E-01,2.8312048007385754E-01
7.604208696731742E-01,2.7933827865545174E-01
5.594447436127565E-01,2.632681146412972E-01
6.496068967610722E-01,2.5802143095650065E-01
5.934899657366617E-01,2.141458639255996E-01
6.144158464266063E-01,2.6594118725927735E-01
6.333462790906104E-01,3.345980342365489E-01
5.789781651319639E-01,3.1720612238612916E-01
7.291795953828968E-01,2.792602705721733E-01
5.903081046893353E-01,3.041893804776677E-01
6.03908715707696E-01,2.943675649429473E-01
6.641999272109669E-01,2.6689312143637023E-01
6.715080064416153E-01,3.950047096715384E-01
5.343980343980345E-01,2.856265356265356E-01
6.260911444223707E-01,3.581963758954909E-01
4.7891240537617796E-01,2.3791132396106907E-01
5.954899945589747E-01,2.9623360135421073E-01
7.214573438345459E-01,3.9078939457704565E-01
6.080392979093032E-01,2.935362127838016E-01
7.157778323912509E-01,3.194888178913738E-01
5.565248781661754E-01,2.4667589194392636E-01
6.53379289674809E-01,2.967181177881013E-01
7.175514351028702E-01,3.841757683515367E-01
4.849718596575261E-01,2.7840977128487604E-01
6.84115688849525E-01,3.176251412515652E-01
5.844942459115687E-01,2.634766807995155E-01
6.721929163526752E-01,3.677467972871138E-01
6.438037811695245E-01,2.920670812134916E-01
6.229768521346118E-01,3.114884260673059E-01
4.887526183175981E-01,3.4000182143832913E-01
6.265891754449691E-01,2.663760745853009E-01
6.101281269066504E-01,2.684563758389262E-01
6.992589050920393E-01,3.8847716949557737E-01
6.967363403006968E-01,2.994743918836328E-01
7.253057962997111E-01,3.196262831151269E-01
6.308579668348955E-01,2.823840422975246E-01
7.154063382491371E-01,3.85942893002824E-01
6.104563312178907E-01,3.23360531882744E-01
5.948000981113564E-01,3.2192788815305373E-01
7.123483651754047E-01,3.5766445113409434E-01
6.765859353950244E-01,3.1733676615872825E-01
6.177512642703571E-01,3.1493201707900553E-01
6.703773178757034E-01,2.367846489744457E-01
5.73332532869064E-01,2.6715494987092514E-01
6.159978258900263E-01,3.5027327354530907E-01
6.57338717250446E-01,3.192788055216452E-01
6.308011174191223E-01,3.1239674386470817E-01
6.092802689237049E-01,3.6316705684614925E-01
6.438995035354296E-01,3.640740183541447E-01
8.10299810930044E-01,3.631343597130938E-01
6.780805105547374E-01,3.3750613647520866E-01
5.379756399794481E-01,2.1458578898056638E-01
5.969258319653783E-01,2.865243993433816E-01
6.467840459935321E-01,3.413582464965864E-01
6.351425271986871E-01,3.3732450009116877E-01
5.886279507251654E-01,3.0341646944596157E-01
6.558285608719748E-01,2.4632058624299524E-01
6.644417475728155E-01,3.1553398058252424E-01
7.075618727012032E-01,3.3975437940278036E-01
5.8957194620156E-01,2.732911625621814E-01
6.492543950668525E-01,3.438973051495657E-01
6.066421121049863E-01,3.342721842211149E-01
5.991629783518502E-01,3.251738776984916E-01
6.34707515791401E-01,3.112508010130909E-01
7.516095223835904E-01,3.4136846833358286E-01
6.258845730460765E-01,2.5475703727001103E-01
6.086956521739131E-01,2.87856071964018E-01
5.719590345571061E-01,2.9646044199556804E-01
5.266981474754813E-01,2.663760745853009E-01
6.297755491881566E-01,3.3130372492836674E-01
6.804564477764731E-01,2.5893475446361364E-01
5.889138485823568E-01,2.8838564750166956E-01
5.22036542557979E-01,2.820197413818967E-01
7.363588748189913E-01,2.1258896385987613E-01
6.55264660795335E-01,3.3364393279028526E-01
6.595636732623034E-01,2.8650729698272E-01
5.889739296818942E-01,3.1690983018416646E-01
6.859162523213322E-01,3.055172826933445E-01
5.364906114143002E-01,3.2682761385009096E-01
6.945286910105544E-01,3.457479073152978E-01
7.294905524994021E-01,3.9464243004066013E-01
6.132161815852095E-01,3.0508267740557693E-01
6.96407845004613E-01,3.333234129936609E-01
7.202771699489424E-01,3.160709944079747E-01
6.711830385146155E-01,3.1050056454648095E-01
7.840277144680463E-01,2.552648372686663E-01
5.609927131924753E-01,2.500076221836032E-01
6.163514411746933E-01,3.474530183092634E-01
5.504698762203096E-01,2.645904929898726E-01
6.130644024154738E-01,2.728136590748858E-01
5.274005819592629E-01,3.0007274490785646E-01
6.952491309385863E-01,3.2932853570775145E-01
6.676290147961025E-01,3.067484662576687E-01
6.41322110196405E-01,2.589954675793174E-01
7.084928698483524E-01,3.1053091742289485E-01
5.823552366943836E-01,3.0018311169813583E-01
6.819479075915523E-01,3.1243428365427944E-01
6.803540249262447E-01,2.588957793967126E-01
6.853037072817292E-01,3.2906653785774664E-01
5.28496786979761E-01,2.9127379736952735E-01
7.664604303259765E-01,3.632222119617078E-01
6.575375520299209E-01,3.2575254871207093E-01
5.7691158008011E-01,2.3315597536916363E-01
6.449085375041437E-01,2.4711448633336347E-01
6.414291280760124E-01,2.547732518058927E-01
6.356059243269173E-01,2.6983270372369134E-01
6.678097644616912E-01,3.339048822308456E-01
7.101375139168898E-01,3.309962988595673E-01
5.980310976170761E-01,2.3001196062195237E-01
6.386696390914021E-01,2.8318370789901787E-01
7.433713546212418E-01,3.641616757456285E-01
6.463700234192038E-01,3.3099141295862605E-01
6.598984771573604E-01,3.1054045983875783E-01
6.157672824339491E-01,2.972669639336306E-01
6.470143613000755E-01,3.8095238095238093E-01
5.540334855403349E-01,2.831050228310502E-01
6.542450554751568E-01,3.135552339604438E-01
6.198153075598685E-01,3.255595554859915E-01
5.893375241779497E-01,3.2035783365570597E-01
5.648359572166807E-01,2.673957457036414E-01
6.746268656716418E-01,3.4626865671641793E-01
6.627680311890838E-01,2.609086819613135E-01
6.471716203259827E-01,3.1160115052732507E-01
5.224816385024184E-01,2.985609362870962E-01
6.95797383801837E-01,2.566719238024554E-01
6.97797576399489E-01,3.2086227843369364E-01
6.80210411754036E-01,2.2069048914686498E-01
6.204568265458195E-01,2.6764804282368687E-01
6.070878274268104E-01,3.2665639445300465E-01
6.890715667311412E-01,4.049806576402321E-01
6.603717205522023E-01,3.346680212753242E-01
7.147770433950414E-01,3.289768818972994E-01
6.069346794062856E-01,3.004627125773692E-01
5.565918526987184E-01,2.7679162404476804E-01
6.531226486079759E-01,3.370955605718585E-01
6.906817505209883E-01,3.3045549270616253E-01
6.847032447662618E-01,3.181143393825552E-01
6.175245061302798E-01,2.9377379417848254E-01
6.825625172171039E-01,2.938385724342689E-01
6.751824817518248E-01,2.4939172749391725E-01
6.009651865116703E-01,2.4888457219170182E-01
6.828826106662638E-01,3.535277232210304E-01
6.239537361132248E-01,3.2567341348348805E-01
6.422490835832652E-01,3.0900663455421246E-01
6.557477048830329E-01,3.3549882575410983E-01
5.623214554202376E-01,2.4056532852202678E-01
7.493146512336277E-01,3.7161133109960404E-01
6.028051327961802E-01,3.014025663980901E-01
6.625891946992865E-01,3.148048210109732E-01
6.037804545040808E-01,2.973391182984921E-01
6.253035454103933E-01,3.369354055366683E-01
5.732484076433121E-01,2.2747952684258416E-01
6.215096379030806E-01,3.3027082207410074E-01
6.661465522414931E-01,3.090679949588909E-01
6.013719742528181E-01,2.3873560786920917E-01
6.124874302952739E-01,3.016729134290155E-01
6.254364392628351E-01,2.6717673133558E-01
6.715030877150908E-01,3.237604172912045E-01
5.84690114239453E-01,3.6880453359719345E-01
5.812908251932642E-01,3.475759573320549E-01
7.26046539886992E-01,3.2201227292059054E-01
5.885548714233974E-01,2.3844017867922251E-01
5.530674201208332E-01,2.765337100604166E-01
6.977797915722701E-01,3.292553994864824E-01
6.374429775535482E-01,2.8700039273737954E-01
6.109979633401221E-01,2.9052354139211695E-01
6.056989407727883E-01,2.5660152170669853E-01
6.938527084601339E-01,2.860620815581254E-01
7.098925981457116E-01,3.121079526330284E-01
5.769767658280858E-01,3.319167416322859E-01
7.243533637159327E-01,3.561404038270003E-01
5.656590231737729E-01,2.737059789550514E-01
6.493700810964479E-01,2.753089744740701E-01
6.347964740214808E-01,3.5801317729173565E-01
8.144163855714589E-01,3.9505272434436445E-01
5.915336742867706E-01,3.2041407357200075E-01
6.702536510376633E-01,3.72021521906226E-01
7.172472233150743E-01,3.4197863390128014E-01
6.492725742455212E-01,3.456775279547914E-01
6.414911643669813E-01,2.7233115468409586E-01
6.306116933425423E-01,3.7836701600552536E-01
5.453020134228188E-01,2.726510067114094E-01
6.738342667185769E-01,3.114611721721422E-01
6.050440304319176E-01,2.845504103516444E-01
6.743679690335067E-01,2.6611830168138384E-01
6.389776357827476E-01,2.611206684689113E-01
6.444036255232015E-01,3.2521304465656903E-01
5.941250980155619E-01,2.804753000784125E-01
5.95493891583277E-01,2.977469457916385E-01
6.527493683070629E-01,2.1056431235711706E-01
6.0666727333394E-01,2.912002912002912E-01
6.721835509216383E-01,3.286230693394676E-01
5.82145536384096E-01,3.0007501875468867E-01
6.770396596167583E-01,3.819994409764278E-01
6.040165567990189E-01,3.342020542695079E-01
6.22580145578442E-01,2.880594703422642E-01
5.526920449605663E-01,3.0739613736570826E-01
5.866894823687587E-01,2.8112204363503024E-01
6.284038542103059E-01,3.1120952779938954E-01
6.159485607836067E-01,2.82434949822727E-01
6.649018038539679E-01,2.924336637320692E-01
6.879547045752032E-01,3.9877020486438775E-01
6.671608598962194E-01,3.1195947615517666E-01
6.234335839598998E-01,2.694235588972431E-01
7.501129688206055E-01,3.012501882813677E-01
6.569517439082656E-01,3.1653129479216435E-01
5.935539426743757E-01,3.1369172099889286E-01
6.257179130645064E-01,2.5391451544646637E-01
7.04544767318799E-01,3.9006984971727493E-01
6.05751641826851E-01,3.6585000149938524E-01
6.805395922811687E-01,3.0548666142399133E-01
5.583220159951713E-01,2.9274181379206277E-01
6.851640381469707E-01,3.024598006234375E-01
5.767470247177297E-01,2.74641440341776E-01
5.81218428580123E-01,3.2560404114174424E-01
6.249620775438384E-01,3.094472422789879E-01
5.91982691267504E-01,2.884788749323878E-01
7.065347006916289E-01,2.772477939422847E-01
6.820913461538461E-01,3.395432692307692E-01
5.969614661373609E-01,3.074351550607408E-01
6.567737538337619E-01,2.75721057033985E-01
6.487404128899263E-01,2.3948828326310362E-01
6.351126568879479E-01,3.417510963254196E-01
6.018391225979898E-01,2.9328200898176154E-01
6.897599513825585E-01,2.8258887876025524E-01
6.091832095772086E-01,2.545840278830126E-01
7.303014756918249E-01,2.9574191990825965E-01
7.444916659131326E-01,3.4059740181451004E-01
6.417789026484678E-01,2.711741842176625E-01
7.391094485338482E-01,3.559792445999759E-01
7.059949742730645E-01,3.051334210841211E-01
7.231590950009001E-01,3.9308647902538557E-01
6.954778752999059E-01,4.1303489537461663E-01
6.324959723133838E-01,3.2221492929172385E-01
6.757166232349555E-01,3.6361432640446034E-01
6.676204101096805E-01,3.785169289461135E-01
6.439687555900065E-01,2.742829884920398E-01
6.17135288096815E-01,2.619061954362093E-01
7.47602311312325E-01,3.693334127598737E-01
5.547973654542218E-01,2.848157598053759E-01
6.491923194148126E-01,3.8402925937214266E-01
7.504463340091385E-01,3.7824916028686417E-01
6.488089721012142E-01,3.182253529829765E-01
6.747031306225261E-01,3.3585222502099077E-01
6.609385327164574E-01,4.2059724809229104E-01
7.521265482763767E-01,2.9249365766303537E-01
5.350920856147338E-01,3.235440517670483E-01
6.293832044596296E-01,2.9970628783791886E-01
6.116300090388671E-01,3.91684242241639E-01
6.021627415744506E-01,2.4906207635801886E-01
6.749771967163272E-01,3.070842201276984E-01
6.341609332934489E-01,2.752019144481005E-01
6.995526465908067E-01,2.942324436304681E-01
6.98687314742E-01,3.659790696267618E-01
7.222086786933204E-01,3.1387128230131645E-01
7.22185290384964E-01,3.354082310992929E-01
5.422993492407809E-01,2.9223909375753193E-01
6.363117927784614E-01,2.2511030404898402E-01
7.435393682937887E-01,2.266888317968868E-01
6.327543424317618E-01,2.7605459057071957E-01
6.601941747572815E-01,3.4652725914861837E-01
6.092962929448316E-01,3.559255572648026E-01
6.693440428380187E-01,2.8294998174516245E-01
6.340962618515611E-01,3.713992390844858E-01
7.004830917874396E-01,3.170289855072464E-01
6.265290291783518E-01,2.2972731069872904E-01
6.630556593201344E-01,3.019549246669157E-01
7.005149083942043E-01,4.4006705783738476E-01
5.729794933655006E-01,2.322074788902292E-01
6.91662493740611E-01,3.223585378067101E-01
7.102657477352755E-01,4.062960845095856E-01
7.285089849441476E-01,3.642544924720738E-01
5.773672055427251E-01,3.585754223896925E-01
6.043380703066566E-01,2.991772625280479E-01
7.166465882062213E-01,3.4905631235906465E-01
5.584905660377358E-01,2.7169811320754716E-01
6.000537361554766E-01,3.4331432665611844E-01
6.508822739079808E-01,3.254411369539904E-01
5.916275734305435E-01,2.6294558819135266E-01
7.137000030370213E-01,4.0088681021653966E-01
6.472202338344071E-01,3.22118826055834E-01
6.525185998292475E-01,2.622271008659593E-01
6.398756129649563E-01,2.6312642028465494E-01
6.507457109941776E-01,2.802254257869664E-01
6.626598859608568E-01,3.667745415318231E-01
6.946332034671258E-01,2.59732415209447E-01
5.888925799534925E-01,2.989762328994655E-01
5.445574342619893E-01,2.3767976412539865E-01
6.780794842947061E-01,3.588043907927144E-01
6.485971854452411E-01,3.0644729404064147E-01
6.999178357323271E-01,3.286570706917014E-01
5.479032751760025E-01,2.1732476277930823E-01
5.573272136619676E-01,2.533305516645307E-01
6.397047516530833E-01,2.860218360756574E-01
6.402048655569782E-01,3.4144259496372176E-01
6.11583389395144E-01,3.363708641673292E-01
6.268370223741827E-01,3.14918121288465E-01
6.390348781653129E-01,2.9562828475871955E-01
6.191183754333829E-01,2.9408122833085687E-01
5.538070451519187E-01,2.8144292458540127E-01
7.157402970771443E-01,3.53378054623862E-01
5.329611065287736E-01,2.982044286530042E-01
6.335414969680514E-01,3.107370199414728E-01
6.467765491341539E-01,2.98053709278412E-01
6.934688387386041E-01,2.3314900612763415E-01
5.964214711729622E-01,3.5479431105673653E-01
5.863269740170839E-01,3.006041846483526E-01
5.995611459653244E-01,4.048582995951417E-01
5.869034141690997E-01,3.2175415599118157E-01
6.442468754026544E-01,3.0923850019327404E-01
6.333611394321377E-01,3.6147928445639077E-01
5.270331667423898E-01,3.271240345297592E-01
5.799104594212914E-01,3.094858928517773E-01
6.289118921521425E-01,2.798507462686567E-01
6.75044450471627E-01,3.887532772805352E-01
6.625876734815699E-01,3.7009401581853457E-01
5.528474616573534E-01,3.2398050172393295E-01
5.807589394307955E-01,2.9798102651423014E-01
5.370828555910928E-01,3.1380121899704305E-01
6.284391255976186E-01,3.367712060618817E-01
6.350667280257708E-01,3.2213529682466635E-01
6.153474903474904E-01,3.016409266409266E-01
6.381012016578704E-01,3.2799594477741E-01
5.877965090258094E-01,3.4312994181709683E-01
6.215511491116367E-01,3.2441938026802497E-01
5.962026477512459E-01,2.690555538569725E-01
6.724767045625886E-01,2.955278791351286E-01
5.997769673588716E-01,2.561861418367039E-01
6.196161402448239E-01,2.508689738552214E-01
6.554222663179099E-01,3.3673070563121976E-01
5.917867176758922E-01,3.257815769023851E-01
6.00340491622114E-01,3.3750485349899945E-01
7.325234377355078E-01,4.009284659210804E-01
6.464597182411417E-01,3.049338293590291E-01
6.187371725220331E-01,3.1087770131594833E-01
6.278777731268314E-01,2.3919153261974524E-01
6.522202919752522E-01,3.7792203834080035E-01
6.044223059166566E-01,2.0653626533835498E-01
6.119951040391677E-01,2.2091530584828495E-01
6.932671348994914E-01,2.9970937272947445E-01
5.947553392808868E-01,2.853624102610315E-01
6.027347966894567E-01,3.118627803766343E-01
5.987475179471514E-01,3.513059416526653E-01
6.911200583330691E-01,3.1702754969406843E-01
6.957716196846632E-01,2.657668418537984E-01
6.594121473771365E-01,3.9623868945531965E-01
5.979210744181768E-01,3.3115628737006714E-01
6.785822478036958E-01,2.7870342320508934E-01
6.639905834062717E-01,3.38031569734102E-01
6.747435974329754E-01,3.508666706651472E-01
6.662646970153754E-01,2.592704250829062E-01
5.591630591630592E-01,2.5252525252525254E-01
5.85817691080849E-01,2.913752913752914E-01
6.540261610464418E-01,2.8201128045121804E-01
6.593735950846695E-01,3.5965832459163793E-01
6.320049813200498E-01,3.206724782067248E-01
6.467480415376207E-01,3.1578308131414345E-01
6.176707546325306E-01,2.7153641870318984E-01
6.774345303434216E-01,3.19899639328838E-01
6.779661016949152E-01,3.2082324455205813E-01
7.227671657201858E-01,3.1886786722949373E-01
6.806282722513088E-01,3.3261472128118263E-01
7.344851170121026E-01,3.687293704838086E-01
6.836525719792796E-01,2.9815684857246116E-01
6.149641270925863E-01,2.54682113240364E-01
6.607666088620462E-01,3.4981761645637743E-01
6.126678079106226E-01,3.273568189326366E-01
6.312594840667678E-01,3.247344461305008E-01
7.250129466597618E-01,3.2899747159350534E-01
6.42107801760521E-01,3.949113710358133E-01
5.888506949633837E-01,3.138544313256613E-01
6.244260789715336E-01,2.8160391796755435E-01
6.805821407954304E-01,2.7040986844104153E-01
6.23062336333263E-01,4.093549649339313E-01
6.922670971346971E-01,3.104336758451557E-01
6.380684201066443E-01,2.546282427655623E-01
5.597461685823755E-01,3.3824233716475094E-01
6.420449431460202E-01,3.6602562179352555E-01
5.054479418886199E-01,3.1476997578692495E-01
6.69981204147214E-01,2.5768507851815925E-01
6.516887367951198E-01,3.2733224222585927E-01
6.175103937393006E-01,3.087551968696503E-01
5.696784073506891E-01,2.4808575803981622E-01
7.113485607947895E-01,3.2115736710988385E-01
6.272617611580217E-01,2.834740651387213E-01
5.697739585279282E-01,2.677626253191357E-01
6.815554068033834E-01,3.681616259964705E-01
6.317365269461078E-01,3.2934131736526945E-01
6.097923731334405E-01,2.171455767743471E-01
7.258766009778338E-01,2.4895767719487685E-01
6.382978723404255E-01,3.495440729483283E-01
6.144439736061504E-01,2.693867667534355E-01
7.231499923395128E-01,4.0447372452888003E-01
6.588799041629231E-01,3.474094040131776E-01
5.655558258331307E-01,2.918997810751642E-01
6.049423792383776E-01,2.6012522307250235E-01
6.843273822196538E-01,2.6764804282368687E-01
7.179745559894193E-01,3.684343116261494E-01
6.671175602557797E-01,3.012788981800295E-01
5.955245428296438E-01,2.496390760346487E-01
6.869236957732533E-01,3.5893310229593417E-01
6.736214605067065E-01,3.0998509687034276E-01
5.666576242577689E-01,2.742864032311541E-01
6.342621817416659E-01,2.885742627829381E-01
6.604342581423401E-01,3.287092882991556E-01
5.712739408881806E-01,3.0969061006043475E-01
7.448166838937192E-01,2.796862649723354E-01
6.020667964654786E-01,2.426239329039988E-01
5.644090305444888E-01,2.293854883496318E-01
5.923000987166831E-01,2.811929761584253E-01
6.543598979438691E-01,2.9416178898394113E-01
5.627445079747216E-01,3.069515498043936E-01
6.297567527234741E-01,3.3129383674078494E-01
5.111801984933636E-01,2.630634939614971E-01
4.8567265662943176E-01,2.9747450218552696E-01
6.360019291053773E-01,3.3156498673740054E-01
6.687258224128108E-01,3.328635259543587E-01
7.218378410758679E-01,3.4744062060083264E-01
6.371927281512351E-01,2.6574862595880894E-01
6.343765972159586E-01,2.946393674273173E-01
6.278855032317636E-01,3.631886734379809E-01
6.630626325378572E-01,3.613990024192826E-01
6.085070490420533E-01,3.1329075792264127E-01
7.102443722162033E-01,2.7386541471048514E-01
6.673881673881674E-01,3.3970658970658973E-01
6.885998469778117E-01,3.0298393267023715E-01
5.657835653345308E-01,3.412662775033678E-01
6.992797118847539E-01,3.0312124849939975E-01
5.899258811072455E-01,3.4185448494932685E-01
6.765237089417455E-01,3.642819971224784E-01
6.058806058806059E-01,3.059103059103059E-01
6.530269897852201E-01,2.965581283887008E-01
5.911477869467368E-01,2.820705176294074E-01
5.732637013025992E-01,2.821297796986614E-01
6.641667725943816E-01,3.114274818863607E-01
7.321182416909174E-01,3.492112115178435E-01
5.732215048572981E-01,2.9566161829481685E-01
5.483625285605483E-01,3.2597105864432596E-01
6.224759359912551E-01,2.9757386208362435E-01
5.399798651575703E-01,3.416821745629824E-01
6.081326394771874E-01,2.692726612610432E-01
6.373080109616978E-01,3.409597858645083E-01
6.432801274536327E-01,3.9979559323052877E-01
6.279675294838414E-01,2.8794608669015165E-01
6.089591254752852E-01,2.3467205323193918E-01
7.125321837015748E-01,3.0537093587210346E-01
6.480331889894921E-01,2.5739636011264877E-01
6.143782858540164E-01,2.475852793740066E-01
6.737974377568287E-01,3.0819434372733867E-01
6.425605431455157E-01,2.7884702815748796E-01
6.56022526435611E-01,3.3250456819339186E-01
7.083860854886357E-01,3.2857056731175016E-01
7.108643255941667E-01,3.111938249382189E-01
6.172279204865209E-01,2.2692202959063265E-01
6.332211685530743E-01,3.1508106454573265E-01
7.310832216400633E-01,4.081881320823687E-01
6.017505470459519E-01,3.25188426938974E-01
6.04919601246875E-01,2.8085552915033485E-01
6.366939964561372E-01,3.8441901672823375E-01
6.571479777764502E-01,2.449369735348587E-01
6.140089418777943E-01,3.3979135618479883E-01
6.243808723321226E-01,3.271995917509681E-01
6.813727015338664E-01,3.360194144550574E-01
6.885266147956033E-01,3.550697789304681E-01
6.442354665363947E-01,2.564728871519296E-01
6.033499429669209E-01,3.42198475115567E-01
5.629647469669146E-01,2.5589306680314294E-01
6.035796456210596E-01,2.9282576866764276E-01
7.353384365017178E-01,3.526008076668073E-01
6.776023302161582E-01,3.2193775869998464E-01
5.803234094000302E-01,3.5363457760314343E-01
5.72507460868506E-01,2.3448443875997318E-01
6.578546628494852E-01,3.136992142291527E-01
6.302329121631908E-01,2.8314811995737554E-01
6.558966074313409E-01,3.7479806138933763E-01
5.701185484600766E-01,2.83551024101837E-01
7.335182037749352E-01,3.2799594477741E-01
5.955379099878523E-01,3.1406476845130515E-01
